combo,disc,mod,ev1,ev2,mgap,pin,pout
degree-betweenness,103878,0.6337458158113902,95.21544240248257,76.02010894164604,0.8762843008752272,0.4,0.020000000000000004
degree-closeness,81883,0.6337458158113902,95.21544240248257,76.02010894164604,0.8762843008752272,0.4,0.020000000000000004
degree-eigenvector,23242,0.6337458158113902,95.21544240248257,76.02010894164604,0.8762843008752272,0.4,0.020000000000000004
betweenness-closeness,72589,0.6337458158113902,95.21544240248257,76.02010894164604,0.8762843008752272,0.4,0.020000000000000004
betweenness-eigenvector,118130,0.6337458158113902,95.21544240248257,76.02010894164604,0.8762843008752272,0.4,0.020000000000000004
closeness-eigenvector,91203,0.6337458158113902,95.21544240248257,76.02010894164604,0.8762843008752272,0.4,0.020000000000000004
degree-betweenness,104737,0.6319963364020147,96.6819943074665,78.08242925087826,0.8736899131123289,0.4,0.020000000000000004
degree-closeness,80671,0.6319963364020147,96.6819943074665,78.08242925087826,0.8736899131123289,0.4,0.020000000000000004
degree-eigenvector,59949,0.6319963364020147,96.6819943074665,78.08242925087826,0.8736899131123289,0.4,0.020000000000000004
betweenness-closeness,66536,0.6319963364020147,96.6819943074665,78.08242925087826,0.8736899131123289,0.4,0.020000000000000004
betweenness-eigenvector,136038,0.6319963364020147,96.6819943074665,78.08242925087826,0.8736899131123289,0.4,0.020000000000000004
closeness-eigenvector,114347,0.6319963364020147,96.6819943074665,78.08242925087826,0.8736899131123289,0.4,0.020000000000000004
degree-betweenness,105267,0.6337846638980004,96.32601589690795,77.33653696000785,0.8735992640909851,0.4,0.020000000000000004
degree-closeness,82718,0.6337846638980004,96.32601589690795,77.33653696000785,0.8735992640909851,0.4,0.020000000000000004
degree-eigenvector,31506,0.6337846638980004,96.32601589690795,77.33653696000785,0.8735992640909851,0.4,0.020000000000000004
betweenness-closeness,68825,0.6337846638980004,96.32601589690795,77.33653696000785,0.8735992640909851,0.4,0.020000000000000004
betweenness-eigenvector,123381,0.6337846638980004,96.32601589690795,77.33653696000785,0.8735992640909851,0.4,0.020000000000000004
closeness-eigenvector,100994,0.6337846638980004,96.32601589690795,77.33653696000785,0.8735992640909851,0.4,0.020000000000000004
degree-betweenness,92560,0.6312792600964781,96.54542901912967,77.09693928905962,0.8720862227420837,0.4,0.020000000000000004
degree-closeness,72115,0.6312792600964781,96.54542901912967,77.09693928905962,0.8720862227420837,0.4,0.020000000000000004
degree-eigenvector,46230,0.6312792600964781,96.54542901912967,77.09693928905962,0.8720862227420837,0.4,0.020000000000000004
betweenness-closeness,65788,0.6312792600964781,96.54542901912967,77.09693928905962,0.8720862227420837,0.4,0.020000000000000004
betweenness-eigenvector,119859,0.6312792600964781,96.54542901912967,77.09693928905962,0.8720862227420837,0.4,0.020000000000000004
closeness-eigenvector,92989,0.6312792600964781,96.54542901912967,77.09693928905962,0.8720862227420837,0.4,0.020000000000000004
degree-betweenness,111807,0.6323536580378895,96.24430367130606,76.86272821865634,0.875627300100368,0.4,0.020000000000000004
degree-closeness,84810,0.6323536580378895,96.24430367130606,76.86272821865634,0.875627300100368,0.4,0.020000000000000004
degree-eigenvector,43793,0.6323536580378895,96.24430367130606,76.86272821865634,0.875627300100368,0.4,0.020000000000000004
betweenness-closeness,76454,0.6323536580378895,96.24430367130606,76.86272821865634,0.875627300100368,0.4,0.020000000000000004
betweenness-eigenvector,133915,0.6323536580378895,96.24430367130606,76.86272821865634,0.875627300100368,0.4,0.020000000000000004
closeness-eigenvector,101851,0.6323536580378895,96.24430367130606,76.86272821865634,0.875627300100368,0.4,0.020000000000000004
degree-betweenness,97325,0.6314532018298376,96.53607630601294,77.62569034852888,0.8717680965707364,0.4,0.020000000000000004
degree-closeness,76481,0.6314532018298376,96.53607630601294,77.62569034852888,0.8717680965707364,0.4,0.020000000000000004
degree-eigenvector,35638,0.6314532018298376,96.53607630601294,77.62569034852888,0.8717680965707364,0.4,0.020000000000000004
betweenness-closeness,66206,0.6314532018298376,96.53607630601294,77.62569034852888,0.8717680965707364,0.4,0.020000000000000004
betweenness-eigenvector,118014,0.6314532018298376,96.53607630601294,77.62569034852888,0.8717680965707364,0.4,0.020000000000000004
closeness-eigenvector,98416,0.6314532018298376,96.53607630601294,77.62569034852888,0.8717680965707364,0.4,0.020000000000000004
degree-betweenness,105980,0.632438000396028,96.26025200068553,77.02067147849185,0.8743646062127393,0.4,0.020000000000000004
degree-closeness,82347,0.632438000396028,96.26025200068553,77.02067147849185,0.8743646062127393,0.4,0.020000000000000004
degree-eigenvector,35700,0.632438000396028,96.26025200068553,77.02067147849185,0.8743646062127393,0.4,0.020000000000000004
betweenness-closeness,67426,0.632438000396028,96.26025200068553,77.02067147849185,0.8743646062127393,0.4,0.020000000000000004
betweenness-eigenvector,124799,0.632438000396028,96.26025200068553,77.02067147849185,0.8743646062127393,0.4,0.020000000000000004
closeness-eigenvector,98159,0.632438000396028,96.26025200068553,77.02067147849185,0.8743646062127393,0.4,0.020000000000000004
degree-betweenness,101039,0.6338742242414619,96.2654739440543,77.11490516478511,0.8727006382756095,0.4,0.020000000000000004
degree-closeness,79486,0.6338742242414619,96.2654739440543,77.11490516478511,0.8727006382756095,0.4,0.020000000000000004
degree-eigenvector,29278,0.6338742242414619,96.2654739440543,77.11490516478511,0.8727006382756095,0.4,0.020000000000000004
betweenness-closeness,66623,0.6338742242414619,96.2654739440543,77.11490516478511,0.8727006382756095,0.4,0.020000000000000004
betweenness-eigenvector,116796,0.6338742242414619,96.2654739440543,77.11490516478511,0.8727006382756095,0.4,0.020000000000000004
closeness-eigenvector,93196,0.6338742242414619,96.2654739440543,77.11490516478511,0.8727006382756095,0.4,0.020000000000000004
degree-betweenness,100114,0.6332086238591386,96.1194245543552,77.03979744308721,0.8744527993632575,0.4,0.020000000000000004
degree-closeness,80046,0.6332086238591386,96.1194245543552,77.03979744308721,0.8744527993632575,0.4,0.020000000000000004
degree-eigenvector,23212,0.6332086238591386,96.1194245543552,77.03979744308721,0.8744527993632575,0.4,0.020000000000000004
betweenness-closeness,67914,0.6332086238591386,96.1194245543552,77.03979744308721,0.8744527993632575,0.4,0.020000000000000004
betweenness-eigenvector,114665,0.6332086238591386,96.1194245543552,77.03979744308721,0.8744527993632575,0.4,0.020000000000000004
closeness-eigenvector,94461,0.6332086238591386,96.1194245543552,77.03979744308721,0.8744527993632575,0.4,0.020000000000000004
degree-betweenness,96947,0.6317815232842917,96.21374198205578,77.02045510970879,0.8730783730574289,0.4,0.020000000000000004
degree-closeness,72782,0.6317815232842917,96.21374198205578,77.02045510970879,0.8730783730574289,0.4,0.020000000000000004
degree-eigenvector,51148,0.6317815232842917,96.21374198205578,77.02045510970879,0.8730783730574289,0.4,0.020000000000000004
betweenness-closeness,65346,0.6317815232842917,96.21374198205578,77.02045510970879,0.8730783730574289,0.4,0.020000000000000004
betweenness-eigenvector,126810,0.6317815232842917,96.21374198205578,77.02045510970879,0.8730783730574289,0.4,0.020000000000000004
closeness-eigenvector,101301,0.6317815232842917,96.21374198205578,77.02045510970879,0.8730783730574289,0.4,0.020000000000000004
degree-betweenness,86252,0.5828282273979537,102.3921548362729,75.51352814254695,0.864368765862008,0.4,0.0276734693877551
degree-closeness,34032,0.5828282273979537,102.3921548362729,75.51352814254695,0.864368765862008,0.4,0.0276734693877551
degree-eigenvector,31330,0.5828282273979537,102.3921548362729,75.51352814254695,0.864368765862008,0.4,0.0276734693877551
betweenness-closeness,70294,0.5828282273979537,102.3921548362729,75.51352814254695,0.864368765862008,0.4,0.0276734693877551
betweenness-eigenvector,106393,0.5828282273979537,102.3921548362729,75.51352814254695,0.864368765862008,0.4,0.0276734693877551
closeness-eigenvector,54718,0.5828282273979537,102.3921548362729,75.51352814254695,0.864368765862008,0.4,0.0276734693877551
degree-betweenness,83221,0.5842158816195884,102.20053716854258,75.54958789605676,0.8683583676201351,0.4,0.0276734693877551
degree-closeness,37338,0.5842158816195884,102.20053716854258,75.54958789605676,0.8683583676201351,0.4,0.0276734693877551
degree-eigenvector,17083,0.5842158816195884,102.20053716854258,75.54958789605676,0.8683583676201351,0.4,0.0276734693877551
betweenness-closeness,67768,0.5842158816195884,102.20053716854258,75.54958789605676,0.8683583676201351,0.4,0.0276734693877551
betweenness-eigenvector,96462,0.5842158816195884,102.20053716854258,75.54958789605676,0.8683583676201351,0.4,0.0276734693877551
closeness-eigenvector,49361,0.5842158816195884,102.20053716854258,75.54958789605676,0.8683583676201351,0.4,0.0276734693877551
degree-betweenness,86825,0.5865764595576395,102.54861641284113,76.53174647321589,0.8657616596597383,0.4,0.0276734693877551
degree-closeness,36057,0.5865764595576395,102.54861641284113,76.53174647321589,0.8657616596597383,0.4,0.0276734693877551
degree-eigenvector,31911,0.5865764595576395,102.54861641284113,76.53174647321589,0.8657616596597383,0.4,0.0276734693877551
betweenness-closeness,70571,0.5865764595576395,102.54861641284113,76.53174647321589,0.8657616596597383,0.4,0.0276734693877551
betweenness-eigenvector,107917,0.5865764595576395,102.54861641284113,76.53174647321589,0.8657616596597383,0.4,0.0276734693877551
closeness-eigenvector,57601,0.5865764595576395,102.54861641284113,76.53174647321589,0.8657616596597383,0.4,0.0276734693877551
