combo,disc,id,n,dens,diameter,ev1,ev2,mgap,param
degree-betweenness,383,1,100,0.04828282828282829,7,5.84192205363228,4.083061143235334,0.8242677824267782,0.05
degree-closeness,325,1,100,0.04828282828282829,7,5.84192205363228,4.083061143235334,0.8242677824267782,0.05
degree-eigenvector,504,1,100,0.04828282828282829,7,5.84192205363228,4.083061143235334,0.8242677824267782,0.05
betweenness-closeness,947,1,100,0.04828282828282829,7,5.84192205363228,4.083061143235334,0.8242677824267782,0.05
betweenness-eigenvector,1338,1,100,0.04828282828282829,7,5.84192205363228,4.083061143235334,0.8242677824267782,0.05
closeness-eigenvector,540,1,100,0.04828282828282829,7,5.84192205363228,4.083061143235334,0.8242677824267782,0.05
degree-betweenness,215,1,100,0.10202020202020201,4,11.016107395144276,5.650513101945538,0.7663366336633664,0.1
degree-closeness,199,1,100,0.10202020202020201,4,11.016107395144276,5.650513101945538,0.7663366336633664,0.1
degree-eigenvector,292,1,100,0.10202020202020201,4,11.016107395144276,5.650513101945538,0.7663366336633664,0.1
betweenness-closeness,593,1,100,0.10202020202020201,4,11.016107395144276,5.650513101945538,0.7663366336633664,0.1
betweenness-eigenvector,871,1,100,0.10202020202020201,4,11.016107395144276,5.650513101945538,0.7663366336633664,0.1
closeness-eigenvector,417,1,100,0.10202020202020201,4,11.016107395144276,5.650513101945538,0.7663366336633664,0.1
degree-betweenness,289,1,100,0.2082828282828283,3,21.415214736216047,7.278752996117783,0.6692531522793405,0.2
degree-closeness,37,1,100,0.2082828282828283,3,21.415214736216047,7.278752996117783,0.6692531522793405,0.2
degree-eigenvector,149,1,100,0.2082828282828283,3,21.415214736216047,7.278752996117783,0.6692531522793405,0.2
betweenness-closeness,356,1,100,0.2082828282828283,3,21.415214736216047,7.278752996117783,0.6692531522793405,0.2
betweenness-eigenvector,707,1,100,0.2082828282828283,3,21.415214736216047,7.278752996117783,0.6692531522793405,0.2
closeness-eigenvector,210,1,100,0.2082828282828283,3,21.415214736216047,7.278752996117783,0.6692531522793405,0.2
degree-betweenness,234,1,100,0.0501010101010101,7,5.951729302027735,4.160784313880111,0.8185483870967742,0.05
degree-closeness,269,1,100,0.0501010101010101,7,5.951729302027735,4.160784313880111,0.8185483870967742,0.05
degree-eigenvector,313,1,100,0.0501010101010101,7,5.951729302027735,4.160784313880111,0.8185483870967742,0.05
betweenness-closeness,658,1,100,0.0501010101010101,7,5.951729302027735,4.160784313880111,0.8185483870967742,0.05
betweenness-eigenvector,854,1,100,0.0501010101010101,7,5.951729302027735,4.160784313880111,0.8185483870967742,0.05
closeness-eigenvector,319,1,100,0.0501010101010101,7,5.951729302027735,4.160784313880111,0.8185483870967742,0.05
degree-betweenness,308,1,100,0.09717171717171716,4,10.57321355496365,5.537363785351488,0.7796257796257796,0.1
degree-closeness,231,1,100,0.09717171717171716,4,10.57321355496365,5.537363785351488,0.7796257796257796,0.1
degree-eigenvector,241,1,100,0.09717171717171716,4,10.57321355496365,5.537363785351488,0.7796257796257796,0.1
betweenness-closeness,697,1,100,0.09717171717171716,4,10.57321355496365,5.537363785351488,0.7796257796257796,0.1
betweenness-eigenvector,902,1,100,0.09717171717171716,4,10.57321355496365,5.537363785351488,0.7796257796257796,0.1
closeness-eigenvector,393,1,100,0.09717171717171716,4,10.57321355496365,5.537363785351488,0.7796257796257796,0.1
degree-betweenness,225,1,100,0.20222222222222222,3,20.79337228691712,7.330491841466323,0.6753246753246753,0.2
degree-closeness,76,1,100,0.20222222222222222,3,20.79337228691712,7.330491841466323,0.6753246753246753,0.2
degree-eigenvector,127,1,100,0.20222222222222222,3,20.79337228691712,7.330491841466323,0.6753246753246753,0.2
betweenness-closeness,343,1,100,0.20222222222222222,3,20.79337228691712,7.330491841466323,0.6753246753246753,0.2
betweenness-eigenvector,632,1,100,0.20222222222222222,3,20.79337228691712,7.330491841466323,0.6753246753246753,0.2
closeness-eigenvector,247,1,100,0.20222222222222222,3,20.79337228691712,7.330491841466323,0.6753246753246753,0.2
