combo,disc,id,n,dens,diameter,ev1,ev2,spec_gap,mgap,modularity,core,assort,ccoef,glob_eff
degree-betweenness,577,adjnoun,112,0.06837194337194337,5,13.150161749026754,5.582287918916391,0.4245033654684542,0.5341176470588235,0.2985910034602076,0.3733344625270719,-0.12934785343900138,0.15693497881746177,0.5007278642317502
degree-closeness,590,adjnoun,112,0.06837194337194337,5,13.150161749026754,5.582287918916391,0.4245033654684542,0.5341176470588235,0.2985910034602076,0.3733344625270719,-0.12934785343900138,0.15693497881746177,0.5007278642317502
degree-eigenvector,491,adjnoun,112,0.06837194337194337,5,13.150161749026754,5.582287918916391,0.4245033654684542,0.5341176470588235,0.2985910034602076,0.3733344625270719,-0.12934785343900138,0.15693497881746177,0.5007278642317502
betweenness-closeness,1151,adjnoun,112,0.06837194337194337,5,13.150161749026754,5.582287918916391,0.4245033654684542,0.5341176470588235,0.2985910034602076,0.3733344625270719,-0.12934785343900138,0.15693497881746177,0.5007278642317502
betweenness-eigenvector,1222,adjnoun,112,0.06837194337194337,5,13.150161749026754,5.582287918916391,0.4245033654684542,0.5341176470588235,0.2985910034602076,0.3733344625270719,-0.12934785343900138,0.15693497881746177,0.5007278642317502
closeness-eigenvector,314,adjnoun,112,0.06837194337194337,5,13.150161749026754,5.582287918916391,0.4245033654684542,0.5341176470588235,0.2985910034602076,0.3733344625270719,-0.12934785343900138,0.15693497881746177,0.5007278642317502
degree-betweenness,85,animal_10-4,42,0.1765389082462253,6,11.041981689595564,6.174385586260885,0.5591736845641369,0.3881578947368421,0.451588469529086,0.52467821262406,-0.004775081216164225,0.5958477508650519,0.8940485062625585
degree-closeness,52,animal_10-4,42,0.1765389082462253,6,11.041981689595564,6.174385586260885,0.5591736845641369,0.3881578947368421,0.451588469529086,0.52467821262406,-0.004775081216164225,0.5958477508650519,0.8940485062625585
degree-eigenvector,65,animal_10-4,42,0.1765389082462253,6,11.041981689595564,6.174385586260885,0.5591736845641369,0.3881578947368421,0.451588469529086,0.52467821262406,-0.004775081216164225,0.5958477508650519,0.8940485062625585
betweenness-closeness,137,animal_10-4,42,0.1765389082462253,6,11.041981689595564,6.174385586260885,0.5591736845641369,0.3881578947368421,0.451588469529086,0.52467821262406,-0.004775081216164225,0.5958477508650519,0.8940485062625585
betweenness-eigenvector,152,animal_10-4,42,0.1765389082462253,6,11.041981689595564,6.174385586260885,0.5591736845641369,0.3881578947368421,0.451588469529086,0.52467821262406,-0.004775081216164225,0.5958477508650519,0.8940485062625585
